name,fpr_at_tpr,auroc,aupr_in,aupr_out
svhn,0.518400430239705,0.9203618757682852,0.8727262898876373,0.9563379486121832
cifar100,0.6286,0.878262185,0.8842142761054703,0.8520125980595619
tinc,0.5427,0.905237305,0.9167127620540948,0.8846715386469983
tinr,0.6076,0.8822303300000001,0.8924999425943223,0.8600382607865643
lsunc,0.4238,0.936012795,0.9466574131762933,0.9181276662300573
lsunr,0.5201,0.91450566,0.9264736054886304,0.894617386997756
dtd,0.5446808510638298,0.8991912411347517,0.9408725643216871,0.8107143298098121
places365_10k,0.4918,0.924075315,0.9362853170939451,0.9032174386478401
isun,0.5635854341736695,0.8986552717086834,0.9181597037526414,0.8670114110602396
